Title,Note,URL,Tags,Comment
,,,,
Woorijip,,https://www.google.com/maps/place/Woorijip/data=!4m2!3m1!1s0x89c259a8f1bef1cd:0x7205b1a9e0c152e4,,
ATOMIX,,https://www.google.com/maps/place/ATOMIX/data=!4m2!3m1!1s0x89c259081e80b9dd:0xcbba8bbce70e7645,,
Kochi - Korean Fine Dining,,https://www.google.com/maps/place/Kochi+-+Korean+Fine+Dining/data=!4m2!3m1!1s0x89c259548cb3c437:0x8e83dcd5a865bef9,,
Jungsik,fine dining,https://www.google.com/maps/place/Jungsik/data=!4m2!3m1!1s0x89c25a1fd1cd24a5:0xe06d9ff42b6b6f23,,
NARO,,https://www.google.com/maps/place/NARO/data=!4m2!3m1!1s0x89c25906f025b4a7:0x9544fc9a9cf9c779,,
SEOUL SALON NYC,,https://www.google.com/maps/place/SEOUL+SALON+NYC/data=!4m2!3m1!1s0x89c2593ebc21dca9:0x6e56006e74be3a32,,
Jeju Noodle Bar,,https://www.google.com/maps/place/Jeju+Noodle+Bar/data=!4m2!3m1!1s0x89c259ecba3f2cbd:0x7bdf461ece9544c0,,
Izakaya MEW,,https://www.google.com/maps/place/Izakaya+MEW/data=!4m2!3m1!1s0x89c259a97a25fe87:0xdead51ccf7e11827,,
Popup Bagels,,https://www.google.com/maps/place/Popup+Bagels/data=!4m2!3m1!1s0x89c2598626928527:0x5a9f4b3569495225,,
Don Angie,,https://www.google.com/maps/place/Don+Angie/data=!4m2!3m1!1s0x89c25995f4b5107f:0xb7d70b00818a6b5f,,
Shuka,,https://www.google.com/maps/place/Shuka/data=!4m2!3m1!1s0x89c2598d97dcd6dd:0xb97a39d45e2be2a2,,
Soothr,,https://www.google.com/maps/place/Soothr/data=!4m2!3m1!1s0x89c25923d7bca4d1:0x5bbeae84d9924f22,,
LOS TACOS No.1,,https://www.google.com/maps/place/LOS+TACOS+No.1/data=!4m2!3m1!1s0x89c2585492286ae9:0x4dfa6d9f277ea7de,,
Theodora,,https://www.google.com/maps/place/Theodora/data=!4m2!3m1!1s0x89c25b908dbb2727:0x8810ee4e72002ab6,,
MáLà Project,,https://www.google.com/maps/place/M%C3%A1L%C3%A0+Project/data=!4m2!3m1!1s0x89c2599d18426333:0xc8d3339791c26903,,
Sushi Ishikawa,,https://www.google.com/maps/place/Sushi+Ishikawa/data=!4m2!3m1!1s0x89c258c0d1e0baf5:0x7d1b9c2fc02f6cc5,,
Bungalow,,https://www.google.com/maps/place/Bungalow/data=!4m2!3m1!1s0x89c2590044e143c5:0x5d377f3ad3b83659,,
HYUN,I NEED THE UNLIMITED WAGYU,https://www.google.com/maps/place/HYUN/data=!4m2!3m1!1s0x89c2591f71785cc9:0xcda4e7e42b665a8d,,
COTE Korean Steakhouse,,https://www.google.com/maps/place/COTE+Korean+Steakhouse/data=!4m2!3m1!1s0x89c259a384775443:0x4ad3dc8a6c30ce40,,
Okiboru House of Udon,,https://www.google.com/maps/place/Okiboru+House+of+Udon/data=!4m2!3m1!1s0x89c259005266011f:0xb0f1eba80963810b,,
Apollo Bagels,,https://www.google.com/maps/place/Apollo+Bagels/data=!4m2!3m1!1s0x89c259006b5f41ef:0x87200d2c9acee1d0,,
Mariscos El Submarino,,https://www.google.com/maps/place/Mariscos+El+Submarino/data=!4m2!3m1!1s0x89c25900040f84ad:0xb34adbdef2a377cb,,
Xi'an Famous Foods 西安名吃 | Chelsea,,https://www.google.com/maps/place/Xi'an+Famous+Foods+%E8%A5%BF%E5%AE%89%E5%90%8D%E5%90%83+%7C+Chelsea/data=!4m2!3m1!1s0x89c25983b2c2cc5d:0x57dd52edcaf34e0a,,
Chez Fifi,,https://www.google.com/maps/place/Chez+Fifi/data=!4m2!3m1!1s0x89c2597bdfbe9e09:0xea0f5572e01a2922,,
Musaafer,,https://www.google.com/maps/place/Musaafer/data=!4m2!3m1!1s0x89c25b0003b521d3:0x5aff9b19dec3fd45,,
Kabawa,,https://www.google.com/maps/place/Kabawa/data=!4m2!3m1!1s0x89c259562e73ceeb:0xf8ca883f62224a88,,
I Cavallini,,https://www.google.com/maps/place/I+Cavallini/data=!4m2!3m1!1s0x89c2594ef13aecb1:0x98f1387f2bfca4ac,,
The Eighty Six,,https://www.google.com/maps/place/The+Eighty+Six/data=!4m2!3m1!1s0x89c2592129d9ee61:0x84fbdc9bcdb1bdfd,,
Naks,philipino salted eggyolk pancake,https://www.google.com/maps/place/Naks/data=!4m2!3m1!1s0x89c259f3112bf641:0x8c1f9ace6487f214,,
Maison Premiere,oyster bars,https://www.google.com/maps/place/Maison+Premiere/data=!4m2!3m1!1s0x89c259604f86f55b:0xcb55e54de2d99b36,,
Dirty French New York,holiday spirit,https://www.google.com/maps/place/Dirty+French+New+York/data=!4m2!3m1!1s0x89c25983c32271ad:0xe2272c4f253e9dc6,,
ARIARI,korean tapas,https://www.google.com/maps/place/ARIARI/data=!4m2!3m1!1s0x89c2594515c94085:0x6ac58ecc6611d190,,
SHINN EAST,$69 thirteen course omakase,https://www.google.com/maps/place/SHINN+EAST/data=!4m2!3m1!1s0x89c25922c0fda33d:0x86742905ba29c6c1,,
Sozai Japanese Restaurant (Izakaya Ramen),lowkey spot,https://www.google.com/maps/place/Sozai+Japanese+Restaurant+(Izakaya+Ramen)/data=!4m2!3m1!1s0x89c2592173e83c91:0x649b09d198ca2d70,,
YOKO-CHO,cozy japanese,https://www.google.com/maps/place/YOKO-CHO/data=!4m2!3m1!1s0x89c25972076334e7:0x636b99d0fc5108d4,,
Monkey Bar,"classic, been wanting to go",https://www.google.com/maps/place/Monkey+Bar/data=!4m2!3m1!1s0x89c258fb1466d69b:0x58ecf24f96cc68e0,,
The Nines,cozy fancy vibes,https://www.google.com/maps/place/The+Nines/data=!4m2!3m1!1s0x89c25998def2f209:0x20226532db7c1e62,,
The Portrait Bar,"cute vibes, fancy",https://www.google.com/maps/place/The+Portrait+Bar/data=!4m2!3m1!1s0x89c25962f807eea3:0xa7ec47d2038833eb,,
Lobby Bar at The Hotel Chelsea,date night,https://www.google.com/maps/place/Lobby+Bar+at+The+Hotel+Chelsea/data=!4m2!3m1!1s0x89c259ccab5cb0d9:0xd992a61729fd64c9,,
4 Charles Prime Rib,fancy steakhouse,https://www.google.com/maps/place/4+Charles+Prime+Rib/data=!4m2!3m1!1s0x89c259942a0eb0fb:0x157ade6f9c17ad32,,
The Polo Bar,classic date night,https://www.google.com/maps/place/The+Polo+Bar/data=!4m2!3m1!1s0x89c258fa56f86f63:0xe55c54ab602c385e,,
Swan Room,date night,https://www.google.com/maps/place/Swan+Room/data=!4m2!3m1!1s0x89c25bbb948c5fa7:0xa04abe4decc5dec3,,
Bemelmans Bar,fancy dinner,https://www.google.com/maps/place/Bemelmans+Bar/data=!4m2!3m1!1s0x89c25894f6830e11:0xa96f889c0194ea4b,,
Waverly Inn,fancy date night vibes,https://www.google.com/maps/place/Waverly+Inn/data=!4m2!3m1!1s0x89c25995951c53c7:0x91a0c347d5d447bb,,
The Campbell,casual drinks,https://www.google.com/maps/place/The+Campbell/data=!4m2!3m1!1s0x89c2590189300cbd:0xb94e6b9642523640,,
Minetta Tavern,"old money, date night vibes",https://www.google.com/maps/place/Minetta+Tavern/data=!4m2!3m1!1s0x89c2599196190779:0xf5f0efaba6878e,,
